Num Verts,Num Edges,Num Clients,Preproc Time (s),Preproc Sent (MB),Online Time (s),Online Sent (MB)
1000,10000,10,0.249855,4.783653,0.137480,3.776550
10000,100000,10,1.953532,47.836327,0.883004,37.765503
100000,1000000,10,18.973918,478.363060,8.816828,377.655029
1000000,10000000,10,198.073480,4783.630394,87.467520,3776.550293
