Num Verts,Num Edges,Num Clients,Preproc Time (s),Preproc Sent (MB),Online Time (s),Online Sent (MB)
1000,10000,2,0.217760,4.322075,0.109472,2.517700
10000,100000,2,1.347108,43.220543,0.702368,25.177002
100000,1000000,2,14.043232,432.205223,5.673922,251.770020
1000000,10000000,2,154.578392,4322.052025,54.970771,2517.700195
