Num Verts,Num Edges,Num Clients,Preproc Time (s),Preproc Sent (MB),Online Time (s),Online Sent (MB)
1000,10000,10,0.356526,6.899666,0.167939,3.188782
10000,100000,10,2.606883,69.041084,1.116501,31.890564
100000,1000000,10,26.442300,690.455269,12.839590,318.908386
1000000,10000000,10,259.282085,6904.597115,99.182891,3189.086609
