Num Verts,Num Edges,Num Clients,Preproc Time (s),Preproc Sent (MB),Online Time (s),Online Sent (MB)
1000,10000,10,0.398151,7.883858,0.202602,3.646545
10000,100000,10,2.884323,78.883003,1.381801,36.468201
100000,1000000,2,14.781978,343.321785,7.289439,242.614685
100000,1000000,5,20.035484,510.404037,8.877169,288.390961
100000,1000000,10,29.159331,788.874458,11.809537,364.684753
100000,1000000,15,37.820368,1067.344879,14.263979,440.978546
1000000,10000000,10,297.856936,7888.789009,110.947043,3646.850281
