Num Verts,Num Edges,Num Clients,Preproc Time (s),Preproc Sent (MB),Online Time (s),Online Sent (MB)
1000,10000,10,0.077019,0.503563,0.041098,0.755310
10000,100000,10,0.498594,5.035423,0.228914,7.553101
100000,1000000,10,4.155275,50.354027,2.221734,75.531006
1000000,10000000,10,50.615822,503.540062,20.061288,755.310059
