Num Verts,Num Edges,Num Clients,Preproc Time (s),Preproc Sent (MB),Online Time (s),Online Sent (MB)
1000,10000,2,1.178129,28.326439,1.059722,34.227753
10000,100000,2,13.775858,386.959099,12.478181,458.618164
100000,1000000,2,200.110280,5058.288597,198.008796,5901.336670
