Num Verts,Num Edges,Num Clients,Preproc Time (s),Preproc Sent (MB),Online Time (s),Online Sent (MB)
1000,10000,2,1.189689,28.198265,1.016582,34.240723
10000,100000,2,14.131197,385.208153,12.190264,458.221436
100000,1000000,2,200.795803,5035.400414,197.886149,5891.418457
